SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Yarra,Yarra,Tarrawarra,2,C,2,2 to 3,Sonchus oleraceus,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,1,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,1,A,0,0 to 1,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,1,B,1,1 to 2,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,1,C,2,2 to 3,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,5,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,5,A,0,0 to 1,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,5,B,1,1 to 2,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,5,C,2,2 to 3,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,4,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,4,A,0,0 to 1,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,4,B,1,1 to 2,Galium aparine,exotic,5,12/07/2018,1,0,
Yarra,Watts,Watts River,4,B,1,1 to 2,Lotus corniculatus,exotic,2,12/07/2018,1,0,
Yarra,Watts,Watts River,4,C,2,2 to 3,Galium aparine,exotic,1,12/07/2018,1,0,
Yarra,Watts,Watts River,3,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,3,A,0,0 to 1,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Watts,Watts River,3,A,0,0 to 1,Prunella vulgaris,exotic,1,12/07/2018,1,0,
Yarra,Watts,Watts River,3,A,0,0 to 1,Carex appressa,native,1,12/07/2018,1,0,
Yarra,Watts,Watts River,3,B,1,1 to 2,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,2,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,2,A,0,0 to 1,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,2,B,1,1 to 2,Acacia dealbata,native,1,12/07/2018,1,0,
Yarra,Watts,Watts River,2,C,2,2 to 3,Galium aparine,exotic,1,12/07/2018,1,0,
Yarra,Watts,Watts River,1,W,-1, -1 to 0,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Watts,Watts River,1,W,-1, -1 to 0,Isolepis inundata,native,10_50,12/07/2018,1,0,
Yarra,Watts,Watts River,1,A,0,0 to 1,Isolepis inundata,native,10_50,12/07/2018,1,0,
Yarra,Watts,Watts River,1,B,1,1 to 2,Nil,NA,0,12/07/2018,1,0,
Yarra,Watts,Watts River,1,C,2,2 to 3,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Millgrove,10,W,-1, -1 to 0,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,10,A,0,0 to 1,Anthoxanthum odoratum,exotic,10_50,13/07/2018,1,0,
