SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,RECRUIT_ORIGIN,RECRUIT_COUNT,DATE,SURVEY,Notes
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Atriplex prostrata,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Phalaris aquatica,exotic,6,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,B,1,1 to 2,Lobelia anceps,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,W,-1,-1 to 0,Sonchus oleraceus,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,A,0,0 to 1,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,B,1,1 to 2,Phalaris aquatica,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,B,1,1 to 2,Lobelia anceps,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,A,0,0 to 1,Lobelia anceps,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,2,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,A,0,0 to 1,Phalaris aquatica,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,B,1,1 to 2,Lobelia anceps,native,3,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,5,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,5,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,5,A,0,0 to 1,Monocot grass,exotic,10_50,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,5,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,5,B,1,1 to 2,Monocot grass,exotic,5,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Phalaris aquatica,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Avena fatua,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Sonchus oleraceus,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,A,0,0 to 1,Phalaris aquatica,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,A,0,0 to 1,Monocot grass,exotic,10_50,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,6,A,0,0 to 1,Sonchus oleraceus,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,B,1,1 to 2,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,7,W,-1,-1 to 0,Sonchus oleraceus,exotic,3,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,7,W,-1,-1 to 0,Monocot grass,exotic,10_50,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,7,A,0,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,native,2,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,7,A,0,0 to 1,Monocot grass,exotic,5,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,7,B,1,1 to 2,Monocot grass,exotic,3,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,7,B,1,1 to 2,Eucalyptus camaldulensis subsp. camaldulensis,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,8,W,-1,-1 to 0,Monocot grass,exotic,3,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,8,A,0,0 to 1,Monocot grass,exotic,8,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,8,B,1,1 to 2,Monocot grass,exotic,2,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,9,W,-1,-1 to 0,Rorippa palustris,exotic,6,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,W,-1,-1 to 0,Ehrharta erecta var. erecta,exotic,8,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,A,0,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,native,4,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,A,0,0 to 1,Rorippa palustris,exotic,8,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,50 to 100,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,B,1,1 to 2,Eucalyptus camaldulensis subsp. camaldulensis,native,2,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,9,C,2,2 to 3,Ehrharta erecta var. erecta,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,10,W,-1,-1 to 0,Monocot grass,exotic,2,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,10,A,0,0 to 1,Monocot grass,exotic,2,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,10,B,1,1 to 2,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,A,0,0 to 1,Cirsium vulgare,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,A,0,0 to 1,Microlaena stipoides var. stipoides,native,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,B,1,1 to 2,Microlaena stipoides var. stipoides,native,6,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,C,2,2 to 3,Microlaena stipoides var. stipoides,native,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,C,2,2 to 3,Poa labillardierei var. labillardierei,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,D,3,3 to 4,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,D,3,3 to 4,Cirsium vulgare,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,10,E,4,4 to 5,Microlaena stipoides var. stipoides,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,9,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,9,A,0,0 to 1,Microlaena stipoides var. stipoides,native,4,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,9,B,1,1 to 2,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,9,B,1,1 to 2,Hypochaeris radicata,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,9,C,2,2 to 3,Microlaena stipoides var. stipoides,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,9,D,3,3 to 4,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,8,W,-1,-1 to 0,Sonchus oleraceus,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,8,W,-1,-1 to 0,Hypochaeris radicata,exotic,1,21/03/2018,3,
