SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES
Glenelg,Glenelg,Dergholm,4,2,Poa labillardierei var. labillardierei,15,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Ranunculus muricatus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Rumex brownii,21,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Oxalis perennans,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Plantago lanceolata,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Senecio biserratus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Alternanthera denticulata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Litter,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2,Bare,35,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,3,Phalaris aquatica,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,3,Geranium spp.,6,0_1m,18/10/2022,6,"""pink"""
Glenelg,Glenelg,Dergholm,4,3,Bromus catharticus,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,3,Holcus lanatus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,3,Litter,10,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,3,Bare,30,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,3,Poa labillardierei var. labillardierei,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,-1,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,-1,Crassula helmsii,30,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,-1,Cycnogeton procerum,15,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0,unid grass - stoloniferous,10,0_1m,18/10/2022,6,stoloniferous
Glenelg,Glenelg,Dergholm,5,0,Cycnogeton procerum,25,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0,Crassula helmsii,36,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0,Lilaeopsis polyantha,10,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0,Lobelia anceps,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0,Isolepis spp.,20,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Crassula helmsii,25,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Cycnogeton procerum,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Poa labillardierei var. labillardierei,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Goodenia humilis,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Plantago major,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,unid grass - stoloniferous,4,0_1m,18/10/2022,6,stoloniferous
Glenelg,Glenelg,Dergholm,5,1,Lilaeopsis polyantha,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Isolepis spp.,14,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Juncus amabilis,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1,Juncus acutus,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Bare,10,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Litter,24,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Log,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Water,4,0_1m,18/10/2022,6,
