SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES,SITE_NOTES
Moorabool,Moorabool,Bostock,6,2,Anthoxanthum,3,0_1m,26/04/2023,6,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,6,2,Rock,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Log,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Galium aparine,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,-1,Water,30,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,-1,Nasturtium officinale,25,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,-1,Rubus anglocandicans,17,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,7,-1,Typha,40,0_1m,26/04/2023,6,"(Didn't specify, presumably Typha domingensis based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,-1,Crassula,3,0_1m,26/04/2023,6,"(Didn't specify, presumably crassula helmsii based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,-1,Litter,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,-1,Senecio glomeratus,4,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,-1,Cycnogeton procerum,1,0_1m,26/04/2023,6,"just wrote ""cycno"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,7,-1,Poa,5,0_1m,26/04/2023,6,"(Didn't specify, presumably Poa labillardierei var. labillardierei based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,-1,Bare,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Typha,21,0_1m,26/04/2023,6,"(Didn't specify, presumably Typha domingensis based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,0,Poa,18,0_1m,26/04/2023,6,"(Didn't specify, presumably Poa labillardierei var. labillardierei based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,0,Senecio glomeratus,11,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Lomandra longifolia,21,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Geranium sp,4,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Rubus anglocandicans,3,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,7,0,Litter,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Holcus spp.,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Acaena novae-zelandiae,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,0,Bare,38,0_1m,26/04/2023,6,"No number of hits given, presumably 38  based on litter count (no other ground covers)",NA
Moorabool,Moorabool,Bostock,7,1,Pteridium esculentum,6,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,1,Poa,21,0_1m,26/04/2023,6,"(Didn't specify, presumably Poa labillardierei var. labillardierei based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,1,Rubus anglocandicans,4,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,7,1,Geranium sp,7,0_1m,26/04/2023,6,NA,NA
