SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Cirsium vulgare,Cirsium,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,Campbell 2014,Terrestrial,Terrestrial
Clematis aristata,Clematis,Ranunculaceae,native,climber,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Clematis decipiens,Clematis,Ranunculaceae,native,climber,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Conium maculatum,Conium,Apiaceae,exotic,forb,Terrestrial,NO,Tdr,assumed,Terrestrial,Terrestrial
Convolvulus arvensis,Convolvulus,Convolvulaceae,exotic,climber,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Conyza spp.,Conyza,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Coprosma quadrifida,Coprosma,Rubiaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Cotula australis,Cotula,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Cotula coronopifolia,Cotula,Asteraceae,exotic,forb,Fringing_high,NO,ARp,KM,Littoral,Riparian
Cotula spp.,Cotula,Asteraceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Crassula decumbens var. decumbens,Crassula,Crassulaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Crassula helmsii,Crassula,Crassulaceae,native,forb,Fringing_low,NO,ARp,KM,Littoral,Riparian
Crassula natans,Crassula,Crassulaceae,native,forb,Fringing_low,NO,ARp,NA,Littoral,Riparian
Crassula spp.,Crassula,Crassulaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Crataegus monogyna,Crataegus,Rosaceae,exotic,shrub,Shrub,NO,Tdr,assumed,Shrub,Terrestrial
Crepis vesicaria subsp. taraxacifolia,Crepis,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Crocosmia X crocosmiiflora,Crocosmia,Iridaceae,exotic,forb,Terrestrial,NO,Tdr,assumed,Terrestrial,Terrestrial
Cycnogeton alcockiae,Cycnogeton,Juncaginaceae,native,forb,Aquatic,YES,Sk,"CHECK THIS (not Se, less emergent than other Cycno?)",Aquatic,Aquatic
Cycnogeton procerum,Cycnogeton,Juncaginaceae,native,forb,Aquatic,YES,Se,Casanova 2011,Aquatic,Aquatic
Cynodon dactylon var. dactylon,Cynodon,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Cynoglossum spp.,Cynoglossum,Boraginaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Cynosurus echinatus,Cynosurus,Poaceae,exotic,grass,Fringing_high,NO,ATe,KM,Littoral margin,Riparian
Cyperus eragrostis,Cyperus,Cyperaceae,exotic,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Cyperus exaltatus,Cyperus,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Cyperus gunnii subsp. gunnii,Cyperus,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Cyperus lucidus,Cyperus,Cyperaceae,native,sedge/rush,Emergent,YES,NA,NA,Littoral,Riparian
Cyperus spp.,Cyperus,Cyperaceae,unknown,sedge/rush,Emergent,YES,ATe,assumed,Littoral,Riparian
Dactylis glomerata,Dactylis,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Daucus carota,Daucus,Apiaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Daucus glochidiatus,Daucus,Apiaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
